f1_x,f1_y,f1_z,f2_x,f2_y,f2_z,f3_x,f3_y,f3_z,f4_x,f4_y,f4_z
0.3665470778942108,0.19158966839313507,-0.4195949137210846,0.3550584018230438,-0.19100609421730042,-0.4234958589076996,-0.36761346459388733,0.18612048029899597,-0.42063018679618835,-0.3544517755508423,-0.18500304222106934,-0.42443758249282837
0.36654865741729736,0.1915888488292694,-0.4195946156978607,0.3550626337528229,-0.19100548326969147,-0.4234948754310608,-0.3676152527332306,0.1861201673746109,-0.4206297695636749,-0.35445570945739746,-0.18500280380249023,-0.4244365394115448
0.36654865741729736,0.1915888488292694,-0.4195946156978607,0.3550626337528229,-0.19100548326969147,-0.4234948754310608,-0.3676152527332306,0.1861201673746109,-0.4206297695636749,-0.35445570945739746,-0.18500280380249023,-0.4244365394115448
0.36655014753341675,0.19158805906772614,-0.419594407081604,0.3550666868686676,-0.1910049021244049,-0.42349401116371155,-0.36761707067489624,0.18611988425254822,-0.42062944173812866,-0.3544595241546631,-0.18500256538391113,-0.4244355261325836
0.36655157804489136,0.19158726930618286,-0.4195941388607025,0.3550707697868347,-0.19100430607795715,-0.42349308729171753,-0.36761876940727234,0.18611960113048553,-0.42062902450561523,-0.3544633388519287,-0.18500232696533203,-0.42443448305130005
0.36655157804489136,0.19158726930618286,-0.4195941388607025,0.3550707697868347,-0.19100430607795715,-0.42349308729171753,-0.36761876940727234,0.18611960113048553,-0.42062902450561523,-0.3544633388519287,-0.18500232696533203,-0.42443448305130005
0.36655309796333313,0.191586434841156,-0.4195939302444458,0.3550749719142914,-0.1910037100315094,-0.4234921336174011,-0.367620587348938,0.18611928820610046,-0.42062869668006897,-0.3544672727584839,-0.18500207364559174,-0.42443349957466125
0.36655309796333313,0.191586434841156,-0.4195939302444458,0.3550749719142914,-0.1910037100315094,-0.4234921336174011,-0.367620587348938,0.18611928820610046,-0.42062869668006897,-0.3544672727584839,-0.18500207364559174,-0.42443349957466125
0.3665546178817749,0.19158561527729034,-0.4195937216281891,0.3550789952278137,-0.19100311398506165,-0.4234912097454071,-0.36762237548828125,0.18611900508403778,-0.42062827944755554,-0.3544710874557495,-0.18500185012817383,-0.4244324564933777
0.3665561079978943,0.19158482551574707,-0.4195934534072876,0.35508307814598083,-0.19100254774093628,-0.4234903156757355,-0.3676241636276245,0.18611875176429749,-0.4206278920173645,-0.35447484254837036,-0.18500161170959473,-0.4244314730167389
0.3665561079978943,0.19158482551574707,-0.4195934534072876,0.35508307814598083,-0.19100254774093628,-0.4234903156757355,-0.3676241636276245,0.18611875176429749,-0.4206278920173645,-0.35447484254837036,-0.18500161170959473,-0.4244314730167389
0.36655765771865845,0.1915840059518814,-0.4195931553840637,0.3550872504711151,-0.19100195169448853,-0.42348936200141907,-0.3676259219646454,0.1861184537410736,-0.42062753438949585,-0.35447871685028076,-0.18500137329101562,-0.4244304597377777
0.36655765771865845,0.1915840059518814,-0.4195931553840637,0.3550872504711151,-0.19100195169448853,-0.42348936200141907,-0.3676259219646454,0.1861184537410736,-0.42062753438949585,-0.35447871685028076,-0.18500137329101562,-0.4244304597377777
0.3665606379508972,0.19158238172531128,-0.4195927083492279,0.35509541630744934,-0.19100075960159302,-0.4234875440597534,-0.3676294982433319,0.18611787259578705,-0.42062675952911377,-0.3544864058494568,-0.18500089645385742,-0.4244284927845001
0.3665606379508972,0.19158238172531128,-0.4195927083492279,0.35509541630744934,-0.19100075960159302,-0.4234875440597534,-0.3676294982433319,0.18611787259578705,-0.42062675952911377,-0.3544864058494568,-0.18500089645385742,-0.4244284927845001
0.3665606379508972,0.19158238172531128,-0.4195927083492279,0.35509541630744934,-0.19100075960159302,-0.4234875440597534,-0.3676294982433319,0.18611787259578705,-0.42062675952911377,-0.3544864058494568,-0.18500089645385742,-0.4244284927845001
0.3665621280670166,0.1915815770626068,-0.4195924997329712,0.35509955883026123,-0.19100019335746765,-0.4234866499900818,-0.36763131618499756,0.18611758947372437,-0.42062634229660034,-0.3544902801513672,-0.1850006878376007,-0.42442741990089417
0.3665621280670166,0.1915815770626068,-0.4195924997329712,0.35509955883026123,-0.19100019335746765,-0.4234866499900818,-0.36763131618499756,0.18611758947372437,-0.42062634229660034,-0.3544902801513672,-0.1850006878376007,-0.42442741990089417
0.366563618183136,0.19158080220222473,-0.4195922315120697,0.35510364174842834,-0.1909995675086975,-0.4234856963157654,-0.36763307452201843,0.18611732125282288,-0.4206259548664093,-0.3544940948486328,-0.1850004494190216,-0.42442643642425537
0.36656510829925537,0.19157999753952026,-0.4195919930934906,0.35510772466659546,-0.19099900126457214,-0.42348483204841614,-0.3676348328590393,0.186117023229599,-0.42062562704086304,-0.35449790954589844,-0.1850002110004425,-0.4244254231452942
0.36656665802001953,0.1915791630744934,-0.4195917844772339,0.35511186718940735,-0.19099842011928558,-0.42348384857177734,-0.36763662099838257,0.1861167550086975,-0.420625239610672,-0.3545019030570984,-0.1849999725818634,-0.424424409866333
0.36656665802001953,0.1915791630744934,-0.4195917844772339,0.35511186718940735,-0.19099842011928558,-0.42348384857177734,-0.36763662099838257,0.1861167550086975,-0.420625239610672,-0.3545019030570984,-0.1849999725818634,-0.424424409866333
0.36656665802001953,0.1915791630744934,-0.4195917844772339,0.35511186718940735,-0.19099842011928558,-0.42348384857177734,-0.36763662099838257,0.1861167550086975,-0.420625239610672,-0.3545019030570984,-0.1849999725818634,-0.424424409866333
